,title,studio,foreign_gross,year,id,release_date,movie,production_budget,domestic_gross_y,worldwide_gross,domestic_success,foreign_success,WW_success
41,Paranormal Activity 2,Par.,92800000.0,2010.0,65.0,"Oct 20, 2010",Paranormal Activity 2,3000000.0,84752907.0,177512032.0,28.250969,30.933333333333334,59.17067733333333
89,The Last Exorcism,LGF,26700000.0,2010.0,15.0,"Aug 27, 2010",The Last Exorcism,1800000.0,41034350.0,70165900.0,22.79686111111111,14.833333333333334,38.98105555555556
127,The Kids Are All Right,Focus,13900000.0,2010.0,87.0,"Jul 9, 2010",The Kids Are All Right,4000000.0,20811365.0,36275469.0,5.20284125,3.475,9.06886725
149,Buried,LGF,18100000.0,2010.0,2.0,"Sep 24, 2010",Buried,1987650.0,1044143.0,21270290.0,0.5253153221140543,9.10623097627852,10.701225064774986
153,Soul Kitchen,IFC,17600000.0,2010.0,3.0,"Aug 20, 2010",Soul Kitchen,4900000.0,276901.0,23347461.0,0.05651040816326531,3.5918367346938775,4.764787959183673
161,Winter's Bone,RAtt.,7300000.0,2010.0,8.0,"Jun 11, 2010",Winter's Bone,2000000.0,6531503.0,16131551.0,3.2657515,3.65,8.0657755
165,Blue Valentine,Wein.,2600000.0,2010.0,25.0,"Dec 29, 2010",Blue Valentine,1000000.0,9737892.0,16566240.0,9.737892,2.6,16.56624
183,Inside Job,SPC,3600000.0,2010.0,17.0,"Oct 8, 2010",Inside Job,2000000.0,4311834.0,7799257.0,2.155917,1.8,3.8996285
186,Animal Kingdom,SPC,5700000.0,2010.0,71.0,"Aug 13, 2010",Animal Kingdom,4200000.0,1044039.0,8078683.0,0.2485807142857143,1.3571428571428572,1.9234959523809523
187,Nowhere Boy,Wein.,5100000.0,2010.0,6.0,"Oct 8, 2010",Nowhere Boy,1900000.0,1445366.0,7785229.0,0.760718947368421,2.6842105263157894,4.097488947368421
201,Four Lions,Drft.,4400000.0,2010.0,79.0,"Nov 5, 2010",Four Lions,3750000.0,310007.0,2436111.0,0.08266853333333334,1.1733333333333333,0.6496296
203,Please Give,SPC,280000.0,2010.0,15.0,"Apr 30, 2010",Please Give,3000000.0,4033574.0,4570178.0,1.3445246666666666,0.09333333333333334,1.5233926666666666
204,Monsters,Magn.,4000000.0,2010.0,50.0,"Oct 29, 2010",Monsters,500000.0,237301.0,5639730.0,0.474602,8.0,11.27946
208,To Save a Life,Gold.,45800.0,2010.0,35.0,"Jan 22, 2010",To Save a Life,500000.0,3777210.0,3824868.0,7.55442,0.0916,7.649736
216,Letters to God,Viv.,60300.0,2010.0,25.0,"Apr 9, 2010",Letters to God,3000000.0,2848587.0,3237452.0,0.949529,0.0201,1.0791506666666666
219,Fish Tank,IFC,2000000.0,2010.0,36.0,"Jan 15, 2010",Fish Tank,3000000.0,374675.0,5922292.0,0.12489166666666666,0.6666666666666666,1.9740973333333334
222,After.Life,Anch.,1900000.0,2010.0,49.0,"Apr 9, 2010",After.Life,4500000.0,108596.0,2481925.0,0.024132444444444446,0.4222222222222222,0.5515388888888889
231,Ajami,Kino,669000.0,2010.0,60.0,"Feb 3, 2010",Ajami,1000000.0,621859.0,2721096.0,0.621859,0.669,2.721096
248,The Disappearance of Alice Creed,Anch.,701000.0,2010.0,97.0,"Aug 6, 2010",The Disappearance of Alice Creed,1500000.0,166980.0,1605139.0,0.11132,0.4673333333333333,1.0700926666666666
251,Life During Wartime,IFC,487000.0,2010.0,44.0,"Jul 23, 2010",Life During Wartime,4500000.0,281447.0,281447.0,0.06254377777777778,0.10822222222222222,0.06254377777777778
258,Chain Letter,NFC,447000.0,2010.0,43.0,"Oct 1, 2010",Chain Letter,3000000.0,205842.0,1022453.0,0.068614,0.149,0.3408176666666667
259,I Spit on Your Grave,Anch.,480000.0,2010.0,37.0,"Oct 8, 2010",I Spit on Your Grave,1750000.0,93051.0,1278471.0,0.053172,0.2742857142857143,0.7305548571428572
268,The Good Heart,Magn.,323000.0,2010.0,73.0,"Apr 30, 2010",The Good Heart,3800000.0,20930.0,340930.0,0.005507894736842105,0.085,0.08971842105263157
289,The Eclipse,Magn.,26400.0,2010.0,46.0,"Mar 26, 2010",The Eclipse,3000000.0,133411.0,133411.0,0.044470333333333334,0.0088,0.044470333333333334
290,George A. Romero's Survival of the Dead,Magn.,41500.0,2010.0,72.0,"May 28, 2010",George A. Romero's Survival of the Dead,4200000.0,101740.0,101740.0,0.024223809523809522,0.009880952380952381,0.024223809523809522
292,Freakonomics,Magn.,16400.0,2010.0,80.0,"Oct 1, 2010",Freakonomics,2900000.0,101270.0,172867.0,0.034920689655172414,0.005655172413793103,0.05960931034482759
293,Saint John of Las Vegas,IVP,9100.0,2010.0,55.0,"Jan 29, 2010",Saint John of Las Vegas,2000000.0,102645.0,102645.0,0.0513225,0.00455,0.0513225
373,Unknown,WB,67099999.0,2011.0,84.0,"Nov 3, 2006",Unknown,3700000.0,26403.0,3355048.0,0.007135945945945946,18.135134864864863,0.9067697297297297
383,Insidious,FD,43000000.0,2011.0,63.0,"Apr 1, 2011",Insidious,1500000.0,54009150.0,99870886.0,36.0061,28.666666666666668,66.58059066666667
465,Margin Call,RAtt.,14200000.0,2011.0,37.0,"Oct 21, 2011",Margin Call,3400000.0,5353586.0,20433227.0,1.5745841176470587,4.176470588235294,6.009772647058823
481,Beginners,Focus,8500000.0,2011.0,57.0,"Jun 3, 2011",Beginners,3200000.0,5790894.0,14314407.0,1.809654375,2.65625,4.4732521875
524,Like Crazy,ParV,336000.0,2011.0,74.0,"Oct 28, 2011",Like Crazy,250000.0,3395391.0,3728400.0,13.581564,1.344,14.9136
528,Martha Marcy May Marlene,FoxS,548000.0,2011.0,42.0,"Oct 21, 2011",Martha Marcy May Marlene,1000000.0,2981038.0,5438911.0,2.981038,0.548,5.438911
534,Take Shelter,SPC,1400000.0,2011.0,9.0,"Sep 30, 2011",Take Shelter,4750000.0,1728953.0,4972016.0,0.3639901052631579,0.29473684210526313,1.0467402105263157
549,Another Earth,FoxS,456000.0,2011.0,48.0,"Jul 22, 2011",Another Earth,175000.0,1321194.0,2102779.0,7.54968,2.605714285714286,12.01588
559,Submarine,Wein.,397000.0,2011.0,9.0,"Jun 3, 2011",Submarine,1900000.0,467602.0,4581937.0,0.24610631578947367,0.20894736842105263,2.411545789473684
