,runtime_minutes,genres,title,foreign_gross,movie,production_budget,domestic_gross_y,worldwide_gross,domestic_success,foreign_success,WW_success
0,99.0,Action,The Legend of Hercules,42400000.0,The Legend of Hercules,70000000.0,18848538.0,58953319.0,0.2692648285714286,0.6057142857142858,0.8421902714285714
0,99.0,Adventure,The Legend of Hercules,42400000.0,The Legend of Hercules,70000000.0,18848538.0,58953319.0,0.2692648285714286,0.6057142857142858,0.8421902714285714
0,99.0,Fantasy,The Legend of Hercules,42400000.0,The Legend of Hercules,70000000.0,18848538.0,58953319.0,0.2692648285714286,0.6057142857142858,0.8421902714285714
6,146.0,Comedy,Sex and the City 2,193000000.0,Sex and the City 2,95000000.0,95347692.0,294680778.0,1.0036599157894737,2.031578947368421,3.1019029263157893
6,146.0,Drama,Sex and the City 2,193000000.0,Sex and the City 2,95000000.0,95347692.0,294680778.0,1.0036599157894737,2.031578947368421,3.1019029263157893
6,146.0,Romance,Sex and the City 2,193000000.0,Sex and the City 2,95000000.0,95347692.0,294680778.0,1.0036599157894737,2.031578947368421,3.1019029263157893
13,134.0,Biography,Captain Phillips,111700000.0,Captain Phillips,55000000.0,107136417.0,220648184.0,1.9479348545454545,2.0309090909090908,4.011785163636364
13,134.0,Drama,Captain Phillips,111700000.0,Captain Phillips,55000000.0,107136417.0,220648184.0,1.9479348545454545,2.0309090909090908,4.011785163636364
13,134.0,Thriller,Captain Phillips,111700000.0,Captain Phillips,55000000.0,107136417.0,220648184.0,1.9479348545454545,2.0309090909090908,4.011785163636364
21,156.0,Action,The Revenant,349300000.0,The Revenant,135000000.0,183637894.0,532938302.0,1.3602806962962963,2.5874074074074076,3.947691125925926
21,156.0,Adventure,The Revenant,349300000.0,The Revenant,135000000.0,183637894.0,532938302.0,1.3602806962962963,2.5874074074074076,3.947691125925926
21,156.0,Biography,The Revenant,349300000.0,The Revenant,135000000.0,183637894.0,532938302.0,1.3602806962962963,2.5874074074074076,3.947691125925926
22,80.0,Horror,The Revenant,349300000.0,The Revenant,135000000.0,183637894.0,532938302.0,1.3602806962962963,2.5874074074074076,3.947691125925926
24,93.0,Action,The Little Prince,96200000.0,The Little Prince,77500000.0,1311213.0,102028919.0,0.016918877419354838,1.241290322580645,1.3165021806451613
25,,Documentary,The Little Prince,96200000.0,The Little Prince,77500000.0,1311213.0,102028919.0,0.016918877419354838,1.241290322580645,1.3165021806451613
26,108.0,Adventure,The Little Prince,96200000.0,The Little Prince,77500000.0,1311213.0,102028919.0,0.016918877419354838,1.241290322580645,1.3165021806451613
26,108.0,Animation,The Little Prince,96200000.0,The Little Prince,77500000.0,1311213.0,102028919.0,0.016918877419354838,1.241290322580645,1.3165021806451613
26,108.0,Drama,The Little Prince,96200000.0,The Little Prince,77500000.0,1311213.0,102028919.0,0.016918877419354838,1.241290322580645,1.3165021806451613
31,133.0,Drama,Eat Pray Love,124000000.0,Eat Pray Love,60000000.0,80574010.0,206598789.0,1.3429001666666667,2.066666666666667,3.44331315
31,133.0,Romance,Eat Pray Love,124000000.0,Eat Pray Love,60000000.0,80574010.0,206598789.0,1.3429001666666667,2.066666666666667,3.44331315
35,124.0,Action,Iron Man 2,311500000.0,Iron Man 2,170000000.0,312433331.0,621156389.0,1.8378431235294117,1.8323529411764705,3.653861111764706
35,124.0,Adventure,Iron Man 2,311500000.0,Iron Man 2,170000000.0,312433331.0,621156389.0,1.8378431235294117,1.8323529411764705,3.653861111764706
35,124.0,Sci-Fi,Iron Man 2,311500000.0,Iron Man 2,170000000.0,312433331.0,621156389.0,1.8378431235294117,1.8323529411764705,3.653861111764706
42,105.0,Action,Abraham Lincoln: Vampire Hunter,79000000.0,Abraham Lincoln: Vampire Hunter,67500000.0,37519139.0,137489730.0,0.5558390962962962,1.1703703703703703,2.036884888888889
42,105.0,Fantasy,Abraham Lincoln: Vampire Hunter,79000000.0,Abraham Lincoln: Vampire Hunter,67500000.0,37519139.0,137489730.0,0.5558390962962962,1.1703703703703703,2.036884888888889
42,105.0,Horror,Abraham Lincoln: Vampire Hunter,79000000.0,Abraham Lincoln: Vampire Hunter,67500000.0,37519139.0,137489730.0,0.5558390962962962,1.1703703703703703,2.036884888888889
43,106.0,Action,The Last Witch Hunter,119600000.0,The Last Witch Hunter,80000000.0,27367660.0,130818912.0,0.34209575,1.495,1.6352364
43,106.0,Adventure,The Last Witch Hunter,119600000.0,The Last Witch Hunter,80000000.0,27367660.0,130818912.0,0.34209575,1.495,1.6352364
43,106.0,Fantasy,The Last Witch Hunter,119600000.0,The Last Witch Hunter,80000000.0,27367660.0,130818912.0,0.34209575,1.495,1.6352364
52,95.0,Action,Resident Evil: Retribution,197700000.0,Resident Evil: Retribution,65000000.0,42345531.0,240647629.0,0.6514697076923077,3.0415384615384617,3.7022712153846156
52,95.0,Horror,Resident Evil: Retribution,197700000.0,Resident Evil: Retribution,65000000.0,42345531.0,240647629.0,0.6514697076923077,3.0415384615384617,3.7022712153846156
