,title,studio,foreign_gross,year,id,release_date,movie,production_budget,domestic_gross_y,worldwide_gross,domestic_success,foreign_success,WW_success
14,The Karate Kid,Sony,182500000.0,2010.0,77.0,"Jun 11, 2010",The Karate Kid,40000000.0,176591618.0,351774938.0,4.41479045,4.5625,8.79437345
15,The Karate Kid,Sony,182500000.0,2010.0,63.0,"Jun 22, 1984",The Karate Kid,8000000.0,90815558.0,90815558.0,11.35194475,22.8125,11.35194475
17,Black Swan,FoxS,222400000.0,2010.0,46.0,"Dec 3, 2010",Black Swan,13000000.0,106954678.0,331266710.0,8.227282923076922,17.107692307692307,25.482054615384616
31,True Grit,Par.,81000000.0,2010.0,29.0,"Dec 22, 2010",True Grit,35000000.0,171243005.0,252276928.0,4.892657285714286,2.3142857142857145,7.207912228571429
34,The Social Network,Sony,128000000.0,2010.0,91.0,"Oct 1, 2010",The Social Network,40000000.0,96962694.0,224922135.0,2.42406735,3.2,5.623053375
48,The Town,WB,61800000.0,2010.0,92.0,"Sep 17, 2010",The Town,37000000.0,92186262.0,152566881.0,2.4915205945945944,1.6702702702702703,4.123429216216216
52,The Bounty Hunter,Sony,69300000.0,2010.0,73.0,"Mar 19, 2010",The Bounty Hunter,45000000.0,67061228.0,135808837.0,1.4902495111111111,1.54,3.0179741555555557
53,Saw 3D,LGF,90400000.0,2010.0,79.0,"Oct 29, 2010",Saw 3D,17000000.0,45710178.0,133735284.0,2.688834,5.317647058823529,7.8667814117647055
55,The Fighter,Par.,35600000.0,2010.0,68.0,"Dec 10, 2010",The Fighter,11000000.0,93617009.0,129262388.0,8.510637181818181,3.2363636363636363,11.751126181818181
56,Predators,Fox,75200000.0,2010.0,35.0,"Jul 9, 2010",Predators,40000000.0,52000688.0,127234389.0,1.3000172,1.88,3.180859725
58,Dear John,SGem,35000000.0,2010.0,77.0,"Feb 5, 2010",Dear John,25000000.0,80014842.0,142033509.0,3.20059368,1.4,5.68134036
60,Tooth Fairy,Fox,52400000.0,2010.0,23.0,"Jan 22, 2010",Tooth Fairy,48000000.0,60022256.0,112610386.0,1.2504636666666666,1.0916666666666666,2.346049708333333
61,Life as We Know It,WB,52300000.0,2010.0,64.0,"Oct 8, 2010",Life as We Know It,38000000.0,53374681.0,105887837.0,1.4045968684210526,1.3763157894736842,2.7865220263157893
64,Love and Other Drugs,Fox,70500000.0,2010.0,29.0,"Nov 24, 2010",Love and Other Drugs,30000000.0,32367005.0,102716321.0,1.0789001666666667,2.35,3.423877366666667
67,Kick-Ass,LGF,48100000.0,2010.0,54.0,"Apr 16, 2010",Kick-Ass,28000000.0,48071303.0,97531134.0,1.71683225,1.7178571428571427,3.4832547857142857
70,Get Him to the Greek,Uni.,30300000.0,2010.0,22.0,"Jun 4, 2010",Get Him to the Greek,40000000.0,61153526.0,91455875.0,1.52883815,0.7575,2.286396875
72,The Last Song,BV,26100000.0,2010.0,15.0,"Mar 31, 2010",The Last Song,20000000.0,62950384.0,92678948.0,3.1475192,1.305,4.6339474
75,Piranha 3D,W/Dim.,58200000.0,2010.0,52.0,"Aug 20, 2010",Piranha 3D,24000000.0,25003155.0,83660160.0,1.041798125,2.425,3.48584
78,Vampires Suck,Fox,43900000.0,2010.0,49.0,"Aug 18, 2010",Vampires Suck,20000000.0,36661504.0,81424988.0,1.8330752,2.195,4.0712494
79,Letters to Juliet,Sum.,26100000.0,2010.0,89.0,"May 14, 2010",Letters to Juliet,30000000.0,53032453.0,82148538.0,1.7677484333333333,0.87,2.7382846
82,Diary of a Wimpy Kid,Fox,11700000.0,2010.0,13.0,"Mar 19, 2010",Diary of a Wimpy Kid,15000000.0,64003625.0,76954311.0,4.266908333333333,0.78,5.1302874
