,runtime_minutes,genres,title,foreign_gross,movie,production_budget,domestic_gross_y,worldwide_gross,domestic_success,foreign_success,WW_success
1,96.0,Comedy,Baggage Claim,887000.0,Baggage Claim,8500000.0,21569509.0,22885836.0,2.537589294117647,0.10435294117647059,2.6924512941176473
4,109.0,Action,21 Jump Street,63100000.0,21 Jump Street,42000000.0,138447667.0,202812429.0,3.2963730238095237,1.5023809523809524,4.828867357142857
4,109.0,Comedy,21 Jump Street,63100000.0,21 Jump Street,42000000.0,138447667.0,202812429.0,3.2963730238095237,1.5023809523809524,4.828867357142857
4,109.0,Crime,21 Jump Street,63100000.0,21 Jump Street,42000000.0,138447667.0,202812429.0,3.2963730238095237,1.5023809523809524,4.828867357142857
5,105.0,Comedy,Aloha,5200000.0,Aloha,37000000.0,21052030.0,25387091.0,0.5689737837837838,0.14054054054054055,0.6861375945945946
5,105.0,Drama,Aloha,5200000.0,Aloha,37000000.0,21052030.0,25387091.0,0.5689737837837838,0.14054054054054055,0.6861375945945946
5,105.0,Romance,Aloha,5200000.0,Aloha,37000000.0,21052030.0,25387091.0,0.5689737837837838,0.14054054054054055,0.6861375945945946
7,99.0,Fantasy,Don't Be Afraid of the Dark,12900000.0,Don't Be Afraid of the Dark,25000000.0,24046682.0,39126427.0,0.96186728,0.516,1.56505708
7,99.0,Horror,Don't Be Afraid of the Dark,12900000.0,Don't Be Afraid of the Dark,25000000.0,24046682.0,39126427.0,0.96186728,0.516,1.56505708
7,99.0,Thriller,Don't Be Afraid of the Dark,12900000.0,Don't Be Afraid of the Dark,25000000.0,24046682.0,39126427.0,0.96186728,0.516,1.56505708
8,102.0,Comedy,Going the Distance,24200000.0,Going the Distance,32000000.0,17804299.0,43603990.0,0.55638434375,0.75625,1.3626246875
8,102.0,Romance,Going the Distance,24200000.0,Going the Distance,32000000.0,17804299.0,43603990.0,0.55638434375,0.75625,1.3626246875
9,117.0,,Going the Distance,24200000.0,Going the Distance,32000000.0,17804299.0,43603990.0,0.55638434375,0.75625,1.3626246875
10,113.0,Drama,Remember Me,37000000.0,Remember Me,16000000.0,19068240.0,56506120.0,1.191765,2.3125,3.5316325
10,113.0,Romance,Remember Me,37000000.0,Remember Me,16000000.0,19068240.0,56506120.0,1.191765,2.3125,3.5316325
11,85.0,Comedy,Remember Me,37000000.0,Remember Me,16000000.0,19068240.0,56506120.0,1.191765,2.3125,3.5316325
12,98.0,Comedy,Horrible Bosses,92100000.0,Horrible Bosses,35000000.0,117538559.0,212417601.0,3.358244542857143,2.6314285714285712,6.069074314285714
12,98.0,Crime,Horrible Bosses,92100000.0,Horrible Bosses,35000000.0,117538559.0,212417601.0,3.358244542857143,2.6314285714285712,6.069074314285714
15,100.0,Comedy,The Last Godfather,16600000.0,The Last Godfather,13400000.0,164247.0,164247.0,0.012257238805970148,1.2388059701492538,0.012257238805970148
15,100.0,Crime,The Last Godfather,16600000.0,The Last Godfather,13400000.0,164247.0,164247.0,0.012257238805970148,1.2388059701492538,0.012257238805970148
15,100.0,Romance,The Last Godfather,16600000.0,The Last Godfather,13400000.0,164247.0,164247.0,0.012257238805970148,1.2388059701492538,0.012257238805970148
17,116.0,Biography,Chasing Mavericks,600.0,Chasing Mavericks,20000000.0,6002756.0,8300821.0,0.3001378,3e-05,0.41504105
17,116.0,Drama,Chasing Mavericks,600.0,Chasing Mavericks,20000000.0,6002756.0,8300821.0,0.3001378,3e-05,0.41504105
17,116.0,Sport,Chasing Mavericks,600.0,Chasing Mavericks,20000000.0,6002756.0,8300821.0,0.3001378,3e-05,0.41504105
18,112.0,Comedy,Jumping the Broom,415000.0,Jumping the Broom,7000000.0,37295394.0,38158601.0,5.327913428571429,0.05928571428571429,5.4512287142857145
18,112.0,Drama,Jumping the Broom,415000.0,Jumping the Broom,7000000.0,37295394.0,38158601.0,5.327913428571429,0.05928571428571429,5.4512287142857145
19,99.0,Biography,My Week with Marilyn,20500000.0,My Week with Marilyn,10000000.0,14597405.0,34240572.0,1.4597405,2.05,3.4240572
19,99.0,Drama,My Week with Marilyn,20500000.0,My Week with Marilyn,10000000.0,14597405.0,34240572.0,1.4597405,2.05,3.4240572
20,127.0,Crime,Polisse,20200000.0,Polisse,8900000.0,176988.0,22744132.0,0.019886292134831462,2.269662921348315,2.5555204494382022
20,127.0,Drama,Polisse,20200000.0,Polisse,8900000.0,176988.0,22744132.0,0.019886292134831462,2.269662921348315,2.5555204494382022
23,105.0,Action,Machete,17500000.0,Machete,12500000.0,26593646.0,46370970.0,2.12749168,1.4,3.7096776
23,105.0,Crime,Machete,17500000.0,Machete,12500000.0,26593646.0,46370970.0,2.12749168,1.4,3.7096776
23,105.0,Thriller,Machete,17500000.0,Machete,12500000.0,26593646.0,46370970.0,2.12749168,1.4,3.7096776
27,,Drama,Genius,4300000.0,Genius,17000000.0,1361045.0,7265283.0,0.08006147058823529,0.2529411764705882,0.42736958823529414
