,title,studio,foreign_gross,year,id,release_date,movie,production_budget,domestic_gross_y,worldwide_gross,domestic_success,foreign_success,WW_success
0,Toy Story 3,BV,652000000.0,2010.0,47.0,"Jun 18, 2010",Toy Story 3,200000000.0,415004880.0,1068879522.0,2.0750244,3.26,5.34439761
3,Inception,WB,535700000.0,2010.0,38.0,"Jul 16, 2010",Inception,160000000.0,292576195.0,835524642.0,1.82860121875,3.348125,5.2220290125
4,Shrek Forever After,P/DW,513900000.0,2010.0,27.0,"May 21, 2010",Shrek Forever After,165000000.0,238736787.0,756244673.0,1.4468896181818183,3.1145454545454547,4.583301048484849
5,The Twilight Saga: Eclipse,Sum.,398000000.0,2010.0,53.0,"Jun 30, 2010",The Twilight Saga: Eclipse,68000000.0,300531751.0,706102828.0,4.419584573529412,5.852941176470588,10.383865117647058
6,Iron Man 2,Par.,311500000.0,2010.0,15.0,"May 7, 2010",Iron Man 2,170000000.0,312433331.0,621156389.0,1.8378431235294117,1.8323529411764705,3.653861111764706
7,Tangled,BV,391000000.0,2010.0,15.0,"Nov 24, 2010",Tangled,260000000.0,200821936.0,586477240.0,0.7723920615384615,1.5038461538461538,2.255681692307692
8,Despicable Me,Uni.,291600000.0,2010.0,50.0,"Jul 9, 2010",Despicable Me,69000000.0,251513985.0,543464573.0,3.6451302173913045,4.226086956521739,7.87629815942029
9,How to Train Your Dragon,P/DW,277300000.0,2010.0,30.0,"Mar 26, 2010",How to Train Your Dragon,165000000.0,217581232.0,494870992.0,1.3186741333333334,1.6806060606060607,2.999218133333333
11,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,311300000.0,2010.0,48.0,"Dec 10, 2010",The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000.0,104386950.0,418186950.0,0.673464193548387,2.0083870967741935,2.697980322580645
14,The Karate Kid,Sony,182500000.0,2010.0,77.0,"Jun 11, 2010",The Karate Kid,40000000.0,176591618.0,351774938.0,4.41479045,4.5625,8.79437345
15,The Karate Kid,Sony,182500000.0,2010.0,63.0,"Jun 22, 1984",The Karate Kid,8000000.0,90815558.0,90815558.0,11.35194475,22.8125,11.35194475
17,Black Swan,FoxS,222400000.0,2010.0,46.0,"Dec 3, 2010",Black Swan,13000000.0,106954678.0,331266710.0,8.227282923076922,17.107692307692307,25.482054615384616
18,Megamind,P/DW,173500000.0,2010.0,47.0,"Nov 5, 2010",Megamind,130000000.0,148415853.0,321887208.0,1.1416604076923076,1.3346153846153845,2.476055446153846
19,Robin Hood,Uni.,216400000.0,2010.0,39.0,"May 14, 2010",Robin Hood,210000000.0,105487148.0,322459006.0,0.5023197523809524,1.0304761904761905,1.5355190761904762
20,Robin Hood,Uni.,216400000.0,2010.0,9.0,"Nov 21, 2018",Robin Hood,99000000.0,30824628.0,84747441.0,0.3113598787878788,2.1858585858585857,0.8560347575757575
21,The Last Airbender,Par.,187900000.0,2010.0,83.0,"Jul 1, 2010",The Last Airbender,150000000.0,131772187.0,319713881.0,0.8784812466666667,1.2526666666666666,2.1314258733333333
22,Little Fockers,Uni.,162200000.0,2010.0,70.0,"Dec 22, 2010",Little Fockers,100000000.0,148438600.0,310650574.0,1.484386,1.622,3.10650574
23,Resident Evil: Afterlife,SGem,240100000.0,2010.0,70.0,"Sep 10, 2010",Resident Evil: Afterlife,57500000.0,60128566.0,295874190.0,1.0457141913043477,4.175652173913043,5.145638086956522
24,Shutter Island,Par.,166800000.0,2010.0,52.0,"Feb 19, 2010",Shutter Island,80000000.0,128012934.0,299461782.0,1.600161675,2.085,3.743272275
25,Salt,Sony,175200000.0,2010.0,50.0,"Jul 23, 2010",Salt,130000000.0,118311368.0,290650494.0,0.9100874461538462,1.3476923076923077,2.2357730307692307
26,Sex and the City 2,WB (NL),193000000.0,2010.0,16.0,"May 27, 2010",Sex and the City 2,95000000.0,95347692.0,294680778.0,1.0036599157894737,2.031578947368421,3.1019029263157893
27,The Tourist,Sony,210700000.0,2010.0,85.0,"Dec 10, 2010",The Tourist,100000000.0,67631157.0,278731369.0,0.67631157,2.107,2.78731369
28,The Expendables,LGF,171400000.0,2010.0,34.0,"Aug 13, 2010",The Expendables,82000000.0,103068524.0,268268174.0,1.2569332195121952,2.0902439024390245,3.2715630975609757
29,Grown Ups,Sony,109400000.0,2010.0,34.0,"Jun 25, 2010",Grown Ups,75000000.0,162001186.0,272223430.0,2.160015813333333,1.4586666666666666,3.629645733333333
31,True Grit,Par.,81000000.0,2010.0,29.0,"Dec 22, 2010",True Grit,35000000.0,171243005.0,252276928.0,4.892657285714286,2.3142857142857145,7.207912228571429
32,Gulliver's Travels,Fox,194600000.0,2010.0,13.0,"Dec 25, 2010",Gulliver's Travels,112000000.0,42779261.0,232017848.0,0.3819576875,1.7375,2.0715879285714287
34,The Social Network,Sony,128000000.0,2010.0,91.0,"Oct 1, 2010",The Social Network,40000000.0,96962694.0,224922135.0,2.42406735,3.2,5.623053375
35,Valentine's Day,WB (NL),106000000.0,2010.0,70.0,"Feb 12, 2010",Valentine's Day,52000000.0,110485654.0,217569328.0,2.1247241153846153,2.0384615384615383,4.184025538461539
36,The Sorcerer's Apprentice,BV,152100000.0,2010.0,44.0,"Jul 14, 2010",The Sorcerer's Apprentice,160000000.0,63150991.0,217986320.0,0.39469369375,0.950625,1.3624145
37,Due Date,WB,111200000.0,2010.0,84.0,"Nov 5, 2010",Due Date,65000000.0,100539043.0,211739043.0,1.5467545076923077,1.7107692307692308,3.2575237384615385
38,Eat Pray Love,Sony,124000000.0,2010.0,67.0,"Aug 13, 2010",Eat Pray Love,60000000.0,80574010.0,206598789.0,1.3429001666666667,2.066666666666667,3.44331315
39,Yogi Bear,WB,101300000.0,2010.0,62.0,"Dec 17, 2010",Yogi Bear,80000000.0,100246011.0,204774690.0,1.2530751375,1.26625,2.559683625
40,Red,Sum.,108600000.0,2010.0,63.0,"Oct 15, 2010",Red,60000000.0,90380162.0,196439693.0,1.5063360333333333,1.81,3.273994883333333
41,Paranormal Activity 2,Par.,92800000.0,2010.0,65.0,"Oct 20, 2010",Paranormal Activity 2,3000000.0,84752907.0,177512032.0,28.250969,30.933333333333334,59.17067733333333
42,The A-Team,Fox,100000000.0,2010.0,32.0,"Jun 11, 2010",The A-Team,110000000.0,77222099.0,177241171.0,0.7020190818181818,0.9090909090909091,1.6112833727272726
